Период,Контрагент,ТМ,Стоимость,Валовый Доход,Тип,Количество
2022-11-02,ИМ,Thomas Munz,166,777570,Прогноз,469022.08
2022-11-02,ИМ,ПТМ,17,101278,Прогноз,54861.19
2022-11-02,Ламода,Salamander,179,1444510,Прогноз,1002238.82
2022-11-02,Ламода,Thomas Munz,1048,4915355,Прогноз,3181095.19
2022-11-02,Ламода,ПТМ,110,746420,Прогноз,455301.26
2022-11-02,ОЗОН,Salamander,4,17914,Прогноз,10637.81
2022-11-02,ОЗОН,Thomas Munz,103,457578,Прогноз,287322.07
2022-11-03,Вайлдберриз,Salamander,98,867477.9,Прогноз,631285.48
2022-11-03,Вайлдберриз,Thomas Munz,678,2825750.01,Прогноз,1813548.25
2022-11-03,ИМ,Salamander,11,83644,Прогноз,59928.15
2022-11-03,ИМ,Thomas Munz,155,767299,Прогноз,470982.17
2022-11-03,ИМ,ПТМ,8,52181,Прогноз,29720.11
2022-11-03,Ламода,Salamander,142,1157292,Прогноз,799925.36
2022-11-03,Ламода,Thomas Munz,774,3620046,Прогноз,2339837.7
2022-11-03,Ламода,ПТМ,92,619890,Прогноз,380598.93
2022-11-03,ОЗОН,Salamander,8,44950,Прогноз,27292.42
2022-11-03,ОЗОН,Thomas Munz,97,453895,Прогноз,282848.3
2022-11-04,Вайлдберриз,Salamander,93,831777.3,Прогноз,612410.98
2022-11-04,Вайлдберриз,Thomas Munz,597,2487174.35,Прогноз,1598388.41
2022-11-04,ИМ,Salamander,6,37696,Прогноз,23230.76
2022-11-04,ИМ,Thomas Munz,146,706528,Прогноз,434887.88
2022-11-04,ИМ,ПТМ,12,62058,Прогноз,33016.21
2022-11-04,Ламода,Salamander,153,1268482,Прогноз,889904.01
2022-11-04,Ламода,Thomas Munz,886,4285914,Прогноз,2766930.01
2022-11-04,Ламода,ПТМ,103,706502,Прогноз,431901.4
2022-11-04,ОЗОН,Salamander,1,990,Прогноз,752
2022-11-04,ОЗОН,Thomas Munz,82,346643,Прогноз,221790.55
2022-11-05,Вайлдберриз,Salamander,89,810742.9,Прогноз,593596.18
2022-11-05,Вайлдберриз,Thomas Munz,546,2304952.17,Прогноз,1469329.82
2022-11-05,ИМ,Salamander,11,75042,Прогноз,51976.32
2022-11-05,ИМ,Thomas Munz,123,603604,Прогноз,374821.2
2022-11-05,ИМ,ПТМ,8,44027,Прогноз,22845.92
2022-11-05,Ламода,Salamander,141,1165994,Прогноз,797294.88
2022-11-05,Ламода,Thomas Munz,904,4364106,Прогноз,2814619.96
2022-11-05,Ламода,ПТМ,84,591914,Прогноз,358784.66
2022-11-05,ОЗОН,Salamander,4,25187,Прогноз,16844.54
2022-11-05,ОЗОН,Thomas Munz,110,480847,Прогноз,292256.07
2022-11-06,Вайлдберриз,Salamander,77,723758.4,Прогноз,521234.39
2022-11-06,Вайлдберриз,Thomas Munz,654,2665507.61,Прогноз,1683388.71
2022-11-06,ИМ,Salamander,11,86387,Прогноз,60950.99
2022-11-06,ИМ,Thomas Munz,131,666656,Прогноз,417062.64
2022-11-06,ИМ,ПТМ,7,42424,Прогноз,23011.74
2022-11-06,Ламода,Salamander,162,1364884,Прогноз,950335.38
2022-11-06,Ламода,Thomas Munz,894,4389116,Прогноз,2815514.07
2022-11-06,Ламода,ПТМ,103,738496,Прогноз,450831.34
2022-11-06,ОЗОН,Salamander,3,16197,Прогноз,9981.5
2022-11-06,ОЗОН,Thomas Munz,152,632043,Прогноз,383019.82
2022-11-07,Вайлдберриз,Salamander,96,880437.4,Прогноз,648193.08
